timestamp, index, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2024/09/07 08:34:16.349, 0, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:16.352, 1, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:16.354, 2, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:16.355, 3, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:16.360, 4, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:16.363, 5, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:16.366, 6, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:16.369, 7, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:16.371, 8, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
2024/09/07 08:34:16.373, 9, NVIDIA RTX A4000, 0 %, 15 MiB, 16376 MiB
